0,1,2,3,4
0.375,1.0,-0.433962,-0.621005,0
0.416667,-1.0,-0.0377358,-0.511416,0
-0.541667,1.0,0.0943396,-0.557078,0
0.125,1.0,-0.415094,-0.438356,1
0.208333,1.0,-0.415094,-0.205479,0
-0.416667,1.0,-0.283019,-0.0182648,1
0.75,0.333333,-0.698113,-0.365297,1
0.208333,1.0,-0.0188679,-0.579909,0
0.0416667,0.333333,-0.698113,-0.598174,0
0.583333,1.0,-0.509434,-0.52968,0
0.291667,0.333333,-0.849057,-0.123288,0
-0.5,-0.333333,-0.396226,-0.178082,0
-0.375,0.333333,-0.509434,-0.543379,0
0.125,1.0,-0.245283,0.292237,0
0.5,0.333333,-0.132075,0.328767,1
0.25,1.0,0.509434,-0.438356,0
-0.333333,1.0,-0.169811,-0.497717,0
-0.0833333,0.333333,-1.0,-0.538813,0
-0.0416667,0.333333,-0.207547,-0.680365,0
0.458333,1.0,-0.320755,-0.191781,0
0.5,-1.0,-0.169811,-0.287671,1
0.0416667,1.0,-0.471698,-0.269406,0
-0.125,1.0,0.0566038,-0.465753,0
-0.375,1.0,-0.698113,-0.675799,0
-0.5,-0.333333,-0.698113,-0.502283,0
0.0416667,0.333333,-0.735849,-0.356164,0
0.25,-1.0,0.433962,-0.260274,0
0.375,1.0,-0.132075,0.223744,0
-0.291667,0.333333,0.0566038,-0.520548,0
-0.0416667,-1.0,-0.54717,-0.726027,0
-0.791667,-0.333333,-0.54717,-0.616438,0
0.416667,1.0,0.0566038,0.283105,0
0.666667,0.333333,-0.132075,-0.415525,0
0.541667,1.0,-0.509434,-0.196347,0
-0.125,0.333333,-0.339623,-0.680365,0
-0.333333,1.0,-0.811321,-0.625571,0
0.291667,1.0,0.207547,-0.182648,0
-0.0833333,1.0,-0.320755,-0.182648,0
-0.25,1.0,-0.698113,-0.319635,0
0.583333,0.333333,-0.603774,1.0,0
0.375,1.0,-0.509434,-0.356164,0
0.0833333,1.0,0.622642,-0.0821918,0
0.291667,1.0,-0.132075,-0.237443,0
1.0,1.0,-0.415094,-0.187215,0
-0.541667,1.0,-0.698113,-0.812785,0
0.166667,1.0,0.339623,-0.255708,1
0.166667,1.0,-0.509434,0.0410959,0
0.708333,-0.333333,0.169811,-0.456621,0
-0.416667,0.333333,-0.320755,-0.136986,0
-0.458333,1.0,-0.207547,-0.136986,0
0.375,0.333333,-0.320755,-0.374429,0
-0.375,-0.333333,-0.509434,-0.570776,0
0.208333,0.333333,-0.132075,-0.611872,1
-0.0833333,0.333333,-0.886792,-0.561644,0
-0.458333,-1.0,0.0188679,-0.461187,0
-1.0,-0.333333,-0.320755,-0.643836,0
-0.458333,1.0,-0.132075,-0.543379,0
-0.0416667,-0.333333,-0.245283,-0.657534,0
-0.5,1.0,-0.698113,-0.789954,0
0.25,0.333333,-0.396226,-0.579909,1
0.125,1.0,1.0,-0.260274,1
-0.0833333,1.0,-0.132075,-0.214612,0
1.0,-0.45283,-0.287671,-1.0,0
0.208333,-1.0,0.0566038,-0.283105,1
0.333333,1.0,-0.509434,-0.388128,0
-0.0833333,0.333333,-0.415094,-0.456621,1
-0.125,0.333333,-0.132075,-0.511416,0
-0.5,0.333333,-0.320755,-0.598174,0
0.25,1.0,-0.226415,-0.506849,0
0.125,1.0,-0.283019,-0.73516,0
0.375,0.333333,-0.320755,-0.520548,0
